_id,co_uf,no_uf,ano,variavel,idh_categoria,idh_subcategoria,valor
1,11,Rondônia,1991,IDH,Educação,Total,0.181
2,11,Rondônia,1991,IDH,Longevidade,Total,0.635
3,11,Rondônia,1991,IDH,Renda,Total,0.585
4,11,Rondônia,1991,IDH,Total,Total,0.407
5,11,Rondônia,2000,IDH,Educação,Total,0.345
6,11,Rondônia,2000,IDH,Longevidade,Total,0.688
7,11,Rondônia,2000,IDH,Renda,Total,0.654
8,11,Rondônia,2000,IDH,Total,Total,0.537
9,11,Rondônia,2010,IDH,Educação,Total,0.577
10,11,Rondônia,2010,IDH,Longevidade,Total,0.8
11,11,Rondônia,2010,IDH,Renda,Total,0.712
12,11,Rondônia,2010,IDH,Total,Total,0.69
13,11,Rondônia,2012,IDH,Educação,Total,0.637
14,11,Rondônia,2012,IDH,Longevidade,Total,0.758
15,11,Rondônia,2012,IDH,Renda,Total,0.692
16,11,Rondônia,2012,IDH,Total,Total,0.694
17,11,Rondônia,2013,IDH,Educação,Total,0.612
18,11,Rondônia,2013,IDH,Longevidade,Total,0.762
19,11,Rondônia,2013,IDH,Renda,Total,0.694
20,11,Rondônia,2013,IDH,Total,Total,0.687
21,11,Rondônia,2014,IDH,Educação,Total,0.627
22,11,Rondônia,2014,IDH,Longevidade,Total,0.765
23,11,Rondônia,2014,IDH,Renda,Total,0.691
24,11,Rondônia,2014,IDH,Total,Total,0.692
25,11,Rondônia,2015,IDH,Educação,Total,0.664
26,11,Rondônia,2015,IDH,Longevidade,Total,0.769
27,11,Rondônia,2015,IDH,Renda,Total,0.689
28,11,Rondônia,2015,IDH,Total,Total,0.706
29,11,Rondônia,2016,IDH,Educação,Total,0.691
30,11,Rondônia,2016,IDH,Longevidade,Total,0.772
31,11,Rondônia,2016,IDH,Renda,Total,0.686
32,11,Rondônia,2016,IDH,Total,Total,0.715
33,11,Rondônia,2017,IDH,Educação,Total,0.699
34,11,Rondônia,2017,IDH,Longevidade,Total,0.775
35,11,Rondônia,2017,IDH,Renda,Total,0.693
36,11,Rondônia,2017,IDH,Total,Total,0.721
37,11,Rondônia,2018,IDH,Educação,Total,0.705
38,11,Rondônia,2018,IDH,Longevidade,Total,0.778
39,11,Rondônia,2018,IDH,Renda,Total,0.71
40,11,Rondônia,2018,IDH,Total,Total,0.73
41,11,Rondônia,2019,IDH,Educação,Total,0.707
42,11,Rondônia,2019,IDH,Longevidade,Total,0.781
43,11,Rondônia,2019,IDH,Renda,Total,0.705
44,11,Rondônia,2019,IDH,Total,Total,0.73
45,11,Rondônia,2020,IDH,Educação,Total,0.743
46,11,Rondônia,2020,IDH,Longevidade,Total,0.77
47,11,Rondônia,2020,IDH,Renda,Total,0.704
48,11,Rondônia,2020,IDH,Total,Total,0.739
49,11,Rondônia,2021,IDH,Educação,Total,0.694
50,11,Rondônia,2021,IDH,Longevidade,Total,0.731
51,11,Rondônia,2021,IDH,Renda,Total,0.677
52,11,Rondônia,2021,IDH,Total,Total,0.7
53,12,Acre,1991,IDH,Educação,Total,0.176
54,12,Acre,1991,IDH,Longevidade,Total,0.645
55,12,Acre,1991,IDH,Renda,Total,0.574
56,12,Acre,1991,IDH,Total,Total,0.402
57,12,Acre,2000,IDH,Educação,Total,0.325
58,12,Acre,2000,IDH,Longevidade,Total,0.694
59,12,Acre,2000,IDH,Renda,Total,0.612
60,12,Acre,2000,IDH,Total,Total,0.517
61,12,Acre,2010,IDH,Educação,Total,0.559
62,12,Acre,2010,IDH,Longevidade,Total,0.777
63,12,Acre,2010,IDH,Renda,Total,0.671
64,12,Acre,2010,IDH,Total,Total,0.663
65,12,Acre,2012,IDH,Educação,Total,0.649
66,12,Acre,2012,IDH,Longevidade,Total,0.791
67,12,Acre,2012,IDH,Renda,Total,0.67
68,12,Acre,2012,IDH,Total,Total,0.701
69,12,Acre,2013,IDH,Educação,Total,0.658
70,12,Acre,2013,IDH,Longevidade,Total,0.797
71,12,Acre,2013,IDH,Renda,Total,0.67
72,12,Acre,2013,IDH,Total,Total,0.706
73,12,Acre,2014,IDH,Educação,Total,0.679
74,12,Acre,2014,IDH,Longevidade,Total,0.804
75,12,Acre,2014,IDH,Renda,Total,0.669
76,12,Acre,2014,IDH,Total,Total,0.715
77,12,Acre,2015,IDH,Educação,Total,0.679
78,12,Acre,2015,IDH,Longevidade,Total,0.809
79,12,Acre,2015,IDH,Renda,Total,0.674
80,12,Acre,2015,IDH,Total,Total,0.718
81,12,Acre,2016,IDH,Educação,Total,0.704
82,12,Acre,2016,IDH,Longevidade,Total,0.815
83,12,Acre,2016,IDH,Renda,Total,0.66
84,12,Acre,2016,IDH,Total,Total,0.723
85,12,Acre,2017,IDH,Educação,Total,0.671
86,12,Acre,2017,IDH,Longevidade,Total,0.82
87,12,Acre,2017,IDH,Renda,Total,0.655
88,12,Acre,2017,IDH,Total,Total,0.712
89,12,Acre,2018,IDH,Educação,Total,0.706
90,12,Acre,2018,IDH,Longevidade,Total,0.825
91,12,Acre,2018,IDH,Renda,Total,0.676
92,12,Acre,2018,IDH,Total,Total,0.733
93,12,Acre,2019,IDH,Educação,Total,0.728
94,12,Acre,2019,IDH,Longevidade,Total,0.83
95,12,Acre,2019,IDH,Renda,Total,0.668
96,12,Acre,2019,IDH,Total,Total,0.739
97,12,Acre,2020,IDH,Educação,Total,0.753
98,12,Acre,2020,IDH,Longevidade,Total,0.825
99,12,Acre,2020,IDH,Renda,Total,0.668
100,12,Acre,2020,IDH,Total,Total,0.746
101,12,Acre,2021,IDH,Educação,Total,0.692
102,12,Acre,2021,IDH,Longevidade,Total,0.788
103,12,Acre,2021,IDH,Renda,Total,0.655
104,12,Acre,2021,IDH,Total,Total,0.71
105,13,Amazonas,1991,IDH,Educação,Total,0.204
106,13,Amazonas,1991,IDH,Longevidade,Total,0.645
107,13,Amazonas,1991,IDH,Renda,Total,0.605
108,13,Amazonas,1991,IDH,Total,Total,0.43
109,13,Amazonas,2000,IDH,Educação,Total,0.324
110,13,Amazonas,2000,IDH,Longevidade,Total,0.692
111,13,Amazonas,2000,IDH,Renda,Total,0.608
112,13,Amazonas,2000,IDH,Total,Total,0.515
113,13,Amazonas,2010,IDH,Educação,Total,0.561
114,13,Amazonas,2010,IDH,Longevidade,Total,0.805
115,13,Amazonas,2010,IDH,Renda,Total,0.677
116,13,Amazonas,2010,IDH,Total,Total,0.674
117,13,Amazonas,2012,IDH,Educação,Total,0.632
118,13,Amazonas,2012,IDH,Longevidade,Total,0.764
119,13,Amazonas,2012,IDH,Renda,Total,0.683
120,13,Amazonas,2012,IDH,Total,Total,0.691
121,13,Amazonas,2013,IDH,Educação,Total,0.659
122,13,Amazonas,2013,IDH,Longevidade,Total,0.769
123,13,Amazonas,2013,IDH,Renda,Total,0.683
124,13,Amazonas,2013,IDH,Total,Total,0.702
125,13,Amazonas,2014,IDH,Educação,Total,0.667
126,13,Amazonas,2014,IDH,Longevidade,Total,0.773
127,13,Amazonas,2014,IDH,Renda,Total,0.683
128,13,Amazonas,2014,IDH,Total,Total,0.706
129,13,Amazonas,2015,IDH,Educação,Total,0.686
130,13,Amazonas,2015,IDH,Longevidade,Total,0.777
131,13,Amazonas,2015,IDH,Renda,Total,0.673
132,13,Amazonas,2015,IDH,Total,Total,0.711
133,13,Amazonas,2016,IDH,Educação,Total,0.705
134,13,Amazonas,2016,IDH,Longevidade,Total,0.781
135,13,Amazonas,2016,IDH,Renda,Total,0.654
136,13,Amazonas,2016,IDH,Total,Total,0.711
137,13,Amazonas,2017,IDH,Educação,Total,0.732
138,13,Amazonas,2017,IDH,Longevidade,Total,0.785
139,13,Amazonas,2017,IDH,Renda,Total,0.672
140,13,Amazonas,2017,IDH,Total,Total,0.728
141,13,Amazonas,2018,IDH,Educação,Total,0.717
142,13,Amazonas,2018,IDH,Longevidade,Total,0.789
